County,Year,Labor Force,Employed,Unemployed,Unemployment Rate,Crime Index Total,Violent Total,Murder,Rape,Robbery,Aggravated Assault,Property Total,Burglary,Larceny,Motor Vehicle Theft,Region
Albany County,1990,157200,151500,5600,3.6,14418,1524,12,119,450,943,12894,3163,9021,710,Non-New York City
Albany County,1991,154700,146800,7900,5.1,15464,1674,13,90,584,987,13790,3271,9768,751,Non-New York City
Albany County,1992,156400,149000,7400,4.7,16249,1588,11,96,561,920,14661,3450,10406,805,Non-New York City
Albany County,1993,156600,150300,6300,4,15139,1669,8,80,557,1024,13470,3235,9562,673,Non-New York City
Albany County,1994,156800,151200,5600,3.6,16724,1771,13,102,646,1010,14953,3401,10744,808,Non-New York City
Albany County,1995,155600,149500,6100,3.9,16699,1606,9,77,643,877,15093,3178,11030,885,Non-New York City
Albany County,1996,156500,151400,5100,3.3,13676,1408,11,64,557,776,12268,2911,8645,712,Non-New York City
Albany County,1997,159300,154200,5100,3.2,14542,1450,10,128,503,809,13092,2789,9674,629,Non-New York City
Albany County,1998,159200,155200,3900,2.5,13733,1310,3,103,475,729,12423,2767,9077,579,Non-New York City
Albany County,1999,158300,154100,4200,2.7,14145,1133,13,73,435,612,13012,2845,9509,658,Non-New York City
Albany County,2000,154500,150000,4500,2.9,14096,1353,12,79,487,775,12743,2489,9619,635,Non-New York City
Albany County,2001,155300,149500,5800,3.8,13733,1649,7,83,533,1026,12084,2427,8889,768,Non-New York City
Albany County,2002,157300,151300,6000,3.8,12784,1706,10,78,547,1071,11078,2180,8140,758,Non-New York City
Albany County,2003,156700,150000,6600,4.2,11977,1402,11,51,436,904,10575,2068,7883,624,Non-New York City
Albany County,2004,158400,152000,6400,4,12710,1431,14,77,481,859,11279,1991,8612,676,Non-New York City
Albany County,2005,159300,153300,5900,3.7,12119,1615,13,96,511,995,10504,2044,7890,570,Non-New York City
Albany County,2006,158500,153100,5400,3.4,11935,1545,5,71,455,1014,10390,1742,8204,444,Non-New York City
Albany County,2007,158300,151900,6400,4,10584,1468,5,75,437,951,9116,1585,7104,427,Non-New York City
Albany County,2008,158700,150000,8800,5.5,10750,1356,10,73,454,819,9394,1660,7403,331,Non-New York City
Albany County,2009,155700,144600,11100,7.1,10613,1289,12,59,400,818,9324,1521,7451,352,Non-New York City
Albany County,2010,158200,147200,11000,6.9,11037,1182,3,61,367,751,9855,1594,7906,355,Non-New York City
Albany County,2011,157700,146700,11000,7,10727,1166,7,47,396,716,9561,1571,7739,251,Non-New York City
Albany County,2012,159900,148900,10900,6.8,9974,1011,6,67,312,626,8963,1502,7200,261,Non-New York City
Albany County,2013,157300,149100,8100,5.2,9456,1005,9,47,293,656,8451,1203,6998,250,Non-New York City
Albany County,2014,155000,148400,6700,4.3,9186,1003,14,46,316,627,8183,1129,6821,233,Non-New York City
Albany County,2015,157600,151400,6100,3.9,8644,1041,6,95,289,651,7603,940,6442,221,Non-New York City
Albany County,2016,156400,150200,6200,4,8766,1099,5,107,293,694,7667,899,6552,216,Non-New York City
Albany County,2017,159100,152900,6200,3.9,8792,1162,8,116,313,725,7630,788,6615,227,Non-New York City
Albany County,2018,159900,154500,5300,3.3,8346,1097,15,119,258,705,7249,744,6277,228,Non-New York City
Albany County,2019,160400,154900,5500,3.4,8004,997,8,129,233,627,7007,747,6015,245,Non-New York City
Albany County,2020,156600,148400,8200,5.3,7404,1097,17,108,214,758,6307,716,5162,429,Non-New York City
Albany County,2021,155900,151700,4200,2.7,7861,1131,20,107,208,796,6730,669,5561,500,Non-New York City
Albany County,2022,156300,152000,4300,2.8,9717,1253,17,131,305,800,8464,897,6795,772,Non-New York City
Bronx County,1990,452400,414200,38200,8.4,104729,33635,652,645,17873,14465,71094,19010,29115,22969,New York City
Bronx County,1991,451800,400700,51100,11.3,100071,33515,552,601,18074,14288,66556,18463,27506,20587,New York City
Bronx County,1992,460100,399700,60400,13.1,92551,31050,547,566,16465,13472,61501,17699,26070,17732,New York City
Bronx County,1993,447400,399300,48100,10.7,91927,31235,512,606,16386,13731,60692,18763,26273,15656,New York City
Bronx County,1994,443100,406300,36800,8.3,84330,27863,393,546,13998,12926,56467,16440,25420,14607,New York City
Bronx County,1995,449100,407200,41900,9.3,73397,24660,302,556,11585,12217,48737,13996,23648,11093,New York City
Bronx County,1996,472300,419100,53200,11.3,63772,20615,248,530,10023,9814,43157,11374,22006,9777,New York City
Bronx County,1997,480400,432700,47700,9.9,57626,19592,195,538,9056,9803,38034,9524,20323,8187,New York City
Bronx County,1998,481500,439500,42000,8.7,52464,18391,170,533,7661,10027,34073,8210,18558,7305,New York City
Bronx County,1999,484200,450900,33300,6.9,49928,16820,139,408,6836,9437,33108,7582,18376,7150,New York City
Bronx County,2000,486500,455100,31500,6.5,49537,16482,190,400,6123,9769,33055,7312,19101,6642,New York City
Bronx County,2001,490000,446700,43300,8.8,46367,14793,191,404,5288,8910,31574,5702,20303,5569,New York City
Bronx County,2002,501200,449800,51500,10.3,44035,14112,172,443,5215,8282,29923,5057,19585,5281,New York City
Bronx County,2003,499300,449900,49400,9.9,43071,13381,136,407,5170,7668,29690,5027,19851,4812,New York City
Bronx County,2004,504800,465900,38900,7.7,40939,12797,125,290,5076,7306,28142,4708,18904,4530,New York City
Bronx County,2005,508300,473400,34900,6.9,39024,12325,129,267,5057,6872,26699,4082,18487,4130,New York City
Bronx County,2006,506600,477000,29500,5.8,36655,11922,155,247,4882,6638,24733,3776,17526,3431,New York City
Bronx County,2007,516200,482400,33800,6.5,36053,11689,130,181,4613,6765,24364,3756,17617,2991,New York City
Bronx County,2008,533600,485700,47800,9,35284,11345,132,191,4793,6229,23939,3408,17608,2923,New York City
Bronx County,2009,537500,466000,71500,13.3,33755,11242,113,163,4132,6834,22513,3563,16525,2425,New York City
Bronx County,2010,584400,516900,67500,11.5,34008,12070,127,191,4647,7105,21938,3223,16552,2163,New York City
Bronx County,2011,589100,517900,71300,12.1,35130,12267,148,204,4580,7335,22863,3395,17358,2110,New York City
Bronx County,2012,597500,526500,71000,11.9,35962,12801,114,220,4731,7736,23161,3058,18454,1649,New York City
Bronx County,2013,597200,535200,61900,10.4,36280,13020,83,189,4456,8292,23260,2795,19016,1449,New York City
Bronx County,2014,600400,551100,49300,8.2,36030,12713,95,242,4004,8372,23317,2739,19104,1474,New York City
Bronx County,2015,599800,558500,41300,6.9,36299,13409,91,556,4386,8376,22890,2530,18767,1593,New York City
Bronx County,2016,601000,564000,37000,6.2,36834,13817,98,615,4297,8807,23017,2459,19191,1367,New York City
Bronx County,2017,627100,591700,35500,5.7,35507,12534,72,551,3570,8341,22973,2108,19509,1356,New York City
Bronx County,2018,626800,592200,34600,5.5,35355,12514,91,662,3213,8548,22841,2095,19434,1312,New York City
Bronx County,2019,621900,593000,28900,4.7,35255,13157,84,645,3530,8898,22098,1750,19081,1267,New York City
Bronx County,2020,613300,513200,100000,16.3,36217,13129,111,523,3519,8976,23088,2230,18728,2130,New York City
Bronx County,2021,606800,543200,63600,10.5,38311,14819,148,619,4048,10004,23492,1925,18432,3135,New York City
Bronx County,2022,602800,561700,41100,6.8,48270,17592,131,666,5166,11629,30678,2582,24044,4052,New York City
Columbia County,1990,30700,29600,1100,3.6,1954,253,0,7,7,239,1701,446,1182,73,Non-New York City
Columbia County,1991,30000,28400,1700,5.6,2323,363,1,8,31,323,1960,559,1332,69,Non-New York City
Columbia County,1992,31000,29300,1600,5.3,1875,269,0,7,30,232,1606,447,1106,53,Non-New York City
Columbia County,1993,32000,30300,1700,5.3,1759,274,1,9,24,240,1485,435,996,54,Non-New York City
Columbia County,1994,32300,31100,1200,3.6,1690,241,2,13,16,210,1449,449,949,51,Non-New York City
Columbia County,1995,32100,30700,1400,4.2,1756,322,1,8,37,276,1434,403,981,50,Non-New York City
Columbia County,1996,31900,31000,1000,3.1,1711,231,0,13,26,192,1480,350,1084,46,Non-New York City
Columbia County,1997,32600,31500,1100,3.3,1734,302,2,6,30,264,1432,367,1025,40,Non-New York City
Columbia County,1998,33100,32200,900,2.7,1502,247,1,8,28,210,1255,366,836,53,Non-New York City
Columbia County,1999,34000,33100,900,2.5,1362,200,1,4,28,167,1162,257,872,33,Non-New York City
Columbia County,2000,30900,29900,1000,3.2,1128,146,1,4,21,120,982,201,741,40,Non-New York City
Columbia County,2001,31500,30200,1300,4.1,1074,116,1,2,18,95,958,199,730,29,Non-New York City
Columbia County,2002,31300,30000,1300,4.1,1073,114,0,6,17,91,959,236,703,20,Non-New York City
Columbia County,2003,31000,29700,1300,4.3,887,64,0,7,11,46,823,157,627,39,Non-New York City
Columbia County,2004,31700,30400,1300,4,1082,74,1,6,8,59,1008,163,807,38,Non-New York City
Columbia County,2005,31900,30700,1200,3.8,1098,89,2,6,11,70,1009,204,790,15,Non-New York City
Columbia County,2006,32000,31000,1100,3.3,1323,125,3,16,19,87,1198,281,890,27,Non-New York City
Columbia County,2007,31400,30100,1300,4.2,1362,149,1,11,17,120,1213,291,884,38,Non-New York City
Columbia County,2008,31100,29300,1800,5.8,1336,137,2,6,10,119,1199,275,903,21,Non-New York City
Columbia County,2009,30700,28300,2400,7.9,1180,113,0,8,6,99,1067,297,756,14,Non-New York City
Columbia County,2010,31300,29000,2300,7.3,1213,94,1,10,8,75,1119,237,859,23,Non-New York City
Columbia County,2011,31200,29000,2200,7.1,1234,96,1,5,13,77,1138,252,870,16,Non-New York City
Columbia County,2012,31300,29100,2200,7,1425,100,0,16,15,69,1325,262,1051,12,Non-New York City
Columbia County,2013,30900,29300,1600,5.3,1127,76,0,8,17,51,1051,207,830,14,Non-New York City
Columbia County,2014,30600,29300,1300,4.2,926,47,0,5,8,34,879,157,702,20,Non-New York City
Columbia County,2015,31000,29900,1100,3.6,895,103,3,40,9,51,792,161,617,14,Non-New York City
Columbia County,2016,30500,29300,1200,3.8,837,100,0,40,6,54,737,134,592,11,Non-New York City
Columbia County,2017,31500,30400,1100,3.6,969,133,1,39,11,82,836,139,669,28,Non-New York City
Columbia County,2018,32000,31100,1000,3,893,102,1,44,0,57,791,110,662,19,Non-New York City
Columbia County,2019,31700,30700,1000,3.1,720,97,2,34,7,54,623,105,500,18,Non-New York City
Columbia County,2020,30700,29300,1400,4.4,725,93,1,27,11,54,632,95,513,24,Non-New York City
Columbia County,2021,29900,29200,700,2.4,605,81,1,29,7,44,524,72,425,27,Non-New York City
Columbia County,2022,29800,29000,800,2.5,715,54,1,15,4,34,661,72,566,23,Non-New York City
Dutchess County,1990,132900,127900,5000,3.8,8957,1104,10,42,309,743,7853,1645,5689,519,Non-New York City
Dutchess County,1991,127100,120500,6600,5.2,9240,974,13,47,269,645,8266,1908,5941,417,Non-New York City
Dutchess County,1992,124500,116100,8400,6.8,9046,1017,9,40,306,662,8029,1816,5856,357,Non-New York City
Dutchess County,1993,120700,110900,9700,8.1,7908,888,11,37,255,585,7020,1555,5123,342,Non-New York City
Dutchess County,1994,115600,109700,5900,5.1,7570,889,10,45,227,607,6681,1454,4950,277,Non-New York City
Dutchess County,1995,115400,110800,4600,4,7687,1103,13,52,284,754,6584,1349,4914,321,Non-New York City
Dutchess County,1996,118600,114200,4400,3.7,7635,935,11,45,242,637,6700,1356,5009,335,Non-New York City
Dutchess County,1997,120200,116100,4100,3.4,7565,840,2,48,227,563,6725,1363,5097,265,Non-New York City
Dutchess County,1998,120700,117200,3600,2.9,6635,680,11,43,187,439,5955,1074,4600,281,Non-New York City
Dutchess County,1999,122600,119200,3400,2.8,6618,603,13,45,171,374,6015,990,4751,274,Non-New York City
Dutchess County,2000,139200,135400,3800,2.7,6346,609,7,46,163,393,5737,844,4629,264,Non-New York City
Dutchess County,2001,141600,136000,5600,3.9,6118,627,7,38,168,414,5491,829,4379,283,Non-New York City
Dutchess County,2002,144400,138700,5700,4,5968,696,6,47,198,445,5272,881,4122,269,Non-New York City
Dutchess County,2003,143400,137400,5900,4.1,6225,786,4,59,199,524,5439,1041,4118,280,Non-New York City
Dutchess County,2004,146700,140700,5900,4,5310,747,4,42,181,520,4563,657,3624,282,Non-New York City
Dutchess County,2005,147500,142100,5400,3.7,6023,826,5,70,219,532,5197,885,4053,259,Non-New York City
Dutchess County,2006,146800,141900,4900,3.3,5973,854,8,39,265,542,5119,903,3982,234,Non-New York City
Dutchess County,2007,145400,139500,5900,4.1,6421,895,14,42,255,584,5526,909,4354,263,Non-New York City
Dutchess County,2008,145500,136800,8700,6,6537,892,5,45,249,593,5645,994,4439,212,Non-New York City
Dutchess County,2009,143500,131800,11700,8.2,6095,909,4,35,282,588,5186,881,4137,168,Non-New York City
Dutchess County,2010,146800,135800,11000,7.5,5937,724,12,43,210,459,5213,997,4063,153,Non-New York City
Dutchess County,2011,146000,135100,10800,7.4,5677,625,7,42,150,426,5052,957,3945,150,Non-New York City
Dutchess County,2012,145400,134600,10800,7.5,5900,678,5,29,163,481,5222,898,4168,156,Non-New York City
Dutchess County,2013,142900,134700,8300,5.8,5121,584,12,28,150,394,4537,770,3629,138,Non-New York City
Dutchess County,2014,140500,134000,6500,4.6,4832,561,3,26,172,360,4271,632,3545,94,Non-New York City
Dutchess County,2015,143100,137400,5700,4,4519,558,4,108,118,328,3961,505,3345,111,Non-New York City
Dutchess County,2016,141400,135600,5800,4.1,4116,566,4,111,114,337,3550,481,2991,78,Non-New York City
Dutchess County,2017,145000,139300,5700,3.9,4096,573,5,107,110,351,3523,414,3027,82,Non-New York City
Dutchess County,2018,147000,142300,4700,3.2,3660,540,6,113,104,317,3120,352,2633,135,Non-New York City
Dutchess County,2019,148200,143100,5100,3.4,3548,567,5,104,108,350,2981,285,2570,126,Non-New York City
Dutchess County,2020,143100,135800,7300,5.1,3734,579,9,93,88,389,3155,246,2760,149,Non-New York City
Dutchess County,2021,143000,139100,3900,2.7,3369,550,5,107,66,372,2819,232,2404,183,Non-New York City
Dutchess County,2022,144000,140100,3900,2.7,3693,604,9,101,66,428,3089,227,2730,132,Non-New York City
Greene County,1990,20600,19300,1300,6.4,1440,205,1,13,8,183,1235,396,792,47,Non-New York City
Greene County,1991,21100,19200,1900,8.9,1626,221,5,4,5,207,1405,491,857,57,Non-New York City
Greene County,1992,21400,19400,1900,9.1,1408,261,1,11,8,241,1147,403,714,30,Non-New York City
Greene County,1993,21000,19100,1900,8.8,1402,299,0,7,5,287,1103,374,699,30,Non-New York City
Greene County,1994,21100,19600,1600,7.4,1315,271,2,9,12,248,1044,325,690,29,Non-New York City
Greene County,1995,21000,19500,1500,7.2,1347,283,1,4,11,267,1064,354,681,29,Non-New York City
Greene County,1996,20200,18900,1300,6.4,1222,267,2,5,5,255,955,321,597,37,Non-New York City
Greene County,1997,21600,20300,1300,6.1,1269,337,1,6,4,326,932,312,590,30,Non-New York City
Greene County,1998,21700,20500,1300,5.8,1147,326,2,10,7,307,821,289,508,24,Non-New York City
Greene County,1999,21700,20600,1100,5.1,1110,219,1,12,6,200,891,241,622,28,Non-New York City
Greene County,2000,22800,21800,1000,4.3,888,153,2,7,5,139,735,237,473,25,Non-New York City
Greene County,2001,22900,21700,1200,5.3,931,175,1,6,15,153,756,257,475,24,Non-New York City
Greene County,2002,24100,23000,1200,4.8,810,146,0,5,18,123,664,219,416,29,Non-New York City
Greene County,2003,22700,21500,1200,5.5,718,152,1,13,7,131,566,189,352,25,Non-New York City
Greene County,2004,23100,21900,1200,5.3,803,140,2,9,8,121,663,196,452,15,Non-New York City
Greene County,2005,24100,23000,1200,4.8,828,133,0,4,4,125,695,203,469,23,Non-New York City
Greene County,2006,24400,23300,1100,4.5,969,183,4,8,5,166,786,217,538,31,Non-New York City
Greene County,2007,24100,22800,1300,5.3,1140,176,1,18,6,151,964,243,687,34,Non-New York City
Greene County,2008,24300,22500,1800,7.2,1418,102,1,2,5,94,1316,262,1013,41,Non-New York City
Greene County,2009,23800,21600,2200,9.2,851,102,1,7,6,88,749,208,518,23,Non-New York City
Greene County,2010,21700,19600,2000,9.4,836,92,0,8,9,75,744,226,485,33,Non-New York City
Greene County,2011,21400,19300,2100,9.9,831,105,0,8,7,90,726,206,491,29,Non-New York City
Greene County,2012,21200,19000,2200,10.4,721,88,0,7,6,75,633,194,419,20,Non-New York City
Greene County,2013,20800,19200,1600,7.9,718,58,1,8,6,43,660,213,421,26,Non-New York City
Greene County,2014,20500,19200,1300,6.3,686,78,2,11,1,64,608,151,440,17,Non-New York City
Greene County,2015,20200,19100,1100,5.5,606,117,0,32,4,81,489,124,355,10,Non-New York City
Greene County,2016,20200,19200,1100,5.3,554,104,0,32,3,69,450,119,320,11,Non-New York City
Greene County,2017,20800,19600,1100,5.4,635,139,1,38,4,96,496,99,381,16,Non-New York City
Greene County,2018,20900,19900,900,4.3,609,114,2,40,1,71,495,106,381,8,Non-New York City
Greene County,2019,21000,20000,1000,4.6,591,180,0,41,8,131,411,90,309,12,Non-New York City
Greene County,2020,20300,19100,1200,5.8,550,192,0,25,2,165,358,58,288,12,Non-New York City
Greene County,2021,20000,19300,700,3.3,595,206,3,37,5,161,389,63,313,13,Non-New York City
Greene County,2022,20100,19400,700,3.3,566,204,0,10,3,191,362,54,291,17,Non-New York City
Kings County,1990,946600,870300,76300,8.1,202009,63087,759,1159,36341,24828,138922,39041,54827,45054,New York City
Kings County,1991,937500,840900,96600,10.3,191259,60814,786,1039,34915,24074,130445,36004,50983,43458,New York City
Kings County,1992,956300,840100,116200,12.1,176699,56682,652,1065,32458,22507,120017,32561,47996,39460,New York City
Kings County,1993,938600,837500,101000,10.8,169236,54931,718,1046,30973,22194,114305,30659,50631,33015,New York City
Kings County,1994,923500,849500,73900,8,148398,48212,546,1007,25504,21155,100186,26428,45928,27830,New York City
Kings County,1995,940100,854200,86000,9.1,123733,39887,382,882,20780,17843,83846,21874,40340,21632,New York City
Kings County,1996,973500,873100,100400,10.3,106659,34798,340,842,17061,16555,71861,18796,36240,16825,New York City
Kings County,1997,997600,905100,92500,9.3,101454,32697,276,743,15613,16065,68757,16994,37139,14624,New York City
Kings County,1998,1004600,919800,84800,8.4,96447,31123,237,789,14141,15956,65324,15055,37296,12973,New York City
Kings County,1999,1011000,942500,68600,6.8,89153,28725,263,688,13108,14666,60428,13295,35084,12049,New York City
Kings County,2000,1041200,983200,58000,5.6,85912,27611,236,626,12154,14595,58301,12264,34776,11261,New York City
Kings County,2001,1043600,959600,84000,8.1,77831,25226,254,570,10521,13881,52605,10555,32863,9187,New York City
Kings County,2002,1053800,959400,94400,9,73707,22466,221,636,9980,11629,51241,10139,32728,8374,New York City
Kings County,2003,1042000,957600,84500,8.1,71289,21485,235,536,9641,11073,49804,9483,32596,7725,New York City
Kings County,2004,1066600,998500,68100,6.4,67962,19735,232,459,8783,10261,48227,8901,32551,6775,New York City
Kings County,2005,1073700,1013500,60300,5.6,66239,19369,211,420,8715,10023,46870,7877,32977,6016,New York City
Kings County,2006,1077200,1027600,49600,4.6,61368,17992,225,307,8182,9278,43376,7415,30785,5176,New York City
Kings County,2007,1095100,1037800,57300,5.2,59321,17526,213,252,7629,9432,41795,6917,30586,4292,New York City
Kings County,2008,1123300,1043000,80300,7.2,59547,16895,213,250,7867,8565,42652,6758,32022,3872,New York City
Kings County,2009,1120100,1000800,119200,10.6,55816,15803,201,253,6292,9057,40013,6262,30292,3459,New York City
Kings County,2010,1163900,1055900,108000,9.3,57172,16514,222,323,6684,9285,40658,6421,30900,3337,New York City
Kings County,2011,1177100,1064000,113100,9.6,59014,18182,198,347,7090,10547,40832,6144,31752,2936,New York City
Kings County,2012,1197600,1084600,113000,9.4,60690,18673,149,358,7295,10871,42017,6585,32752,2680,New York City
